,Document_translated
0, "an exhibit used the third Saudi expansion to consolidate the concept and meaning of the Holy Koran of the visitors to Tamgram. The 30 historic mosques of the Amber Mohammed Bin Salman project have been developed. The historic mosques have been completed with the encampment of the Aaniev Mosque and its outer space in the face of the development of historical and Islamic monuments and museums to enrich the experience of the guests of the Rahmans. The project has been launched."
1,"A sophisticated retail sector has grown by more than 1096 stews over the past decade and is currently employed by approximately 1.5 million workers, including 300,000 Saudis. However, the traditional retail market trade continues to dominate the sector by 509 per cent in the Kingdom, compared to 2090 per cent in a number of Gulf Cooperation Council (GCC) countries. Our retail market is characterized by limited small-scale and electronic trade. Its aim is to add 1 million pinches to citizens &apos; labour in a modern retail sector with the participation of a range of modern local, regional and global brands. By 1442 per cent, we aim to raise the proportion of modern retail trade to 8096 per cent by attracting regional and international traders and easing the restrictions on ownership and investment. To this end, we will facilitate the movement of goods locally and geographically and develop the regulatory features of the sector."
2,"In 2021, the Prince Mohamed Ben Salman project was launched to create the world &apos; s first three-kilometer-long city of Gebrehi, which is home to local and global non-wind institutions, as well as youth and voluntary groups, as a world-class model for the development of the Gaberal-profit sector, a special non-wind-oriented nature. This transformation aims to develop and sustain the services provided by the hospital and its research contributions as one of the world &apos; s best health centres."
3,"Saudi Arabia &apos; s Vision 2030 paves the way for building a distinctive future for the sports sector. Saudi Arabia &apos; s Vision 2030 paved the way for the sports sector in Saudi Arabia to build a distinctive future at all levels by restructuring it and developing it by focusing on a number of targets, including achieving excellence in regional and global sports and promoting professional work for the sector, as well as promoting the practice of sport towards the building of a vital sports community. In addition, various groups of women participated in various sports activities. Based on this comprehensive national vision, launched by His Royal Highness Prince Mohamed Bin Salman Bin Abdulaziz, Crown Prince, the Prime Minister, the sports sector was launched; the implementation of many specific programmes and initiatives aimed at developing the sports system and its governance in line with the sports targets of 2030. Saudi Vision. These initiatives, which are overseen by the Ministry of Sport, have increased significantly in numbers over the past few years."
4,"My President in Riyadh also called upon my President, in his address to Arab and peaceful leaders, to arm Palestinians in the event that attacks continued in the besieged Palestinian sector, the first visit of the President of Iran to Saudi Arabia since the visit of former President Mahmoud Ahmadinejad to a summit of the Organization of Islamic Cooperation (OIC) also in August 2012. Saudi official media on the X platform stated that, in addition to his address to the summit, he had held a meeting with Saudi Crown Prince Mohamed Bin Salman. Iran supported Hamas, the Lebanese Hezbollah and the Houthi rebels in Yemen; placed them at the core of the fear of expanding the war to other countries."
5,"The National Insurance Agency and the new funding models under Strategy 2 are transforming the Ministry of Health into a national health-care transfer agency, whose task is to enhance the value and quality of health care. This agency will be financed from Zaara Al-Falaq to activate the strategic purchase of the service with a view to providing free and high-value care to citizens. It will contract with health communities to provide free and high-quality care in exchange for a needs-based budget. Through it, the citizen will enjoy universal free medical insurance for all diseases on the eve of 211 by establishing the National Health Insurance Centre as the only national provider to pay the cost of health care to citizens commensurate with international best practices. A clear and organized division between the care provider and the funder will be allowed to focus only on the payment of value for service and the quality of care. The Centre will also provide a clear package of benefits for health-care services with the continuation of free treatment for citizens with funding from the Ministry of Finance to meet the needs of national health-care providers. In addition, the Centre will create a package of benefits available to all citizens based on evidence confirming clinical and cost-effectiveness in order to ensure appropriate and valuable care. The Centre will also provide a new package of benefits for health-care services with a new funding system and mechanisms to purchase from service providers."
6,"We have made great efforts to develop the health system over the past decades. The fact that there have been 2.2 per 1,000 inhabitants has been forgotten. We have had some of the best global skills in the most critical medical disciplines. The average age of the individual has increased over the past three decades from 66 to 74 years. We will strive to make the best use of our hospitals and medical centres to improve the quality of health services in their preventive and curative facilities. The public sector will focus on providing citizens with preventive and curative medicine and encourage them to benefit from primary health care as a first step in their treatment plan. It will also contribute to the fight against infectious diseases. It will increase coordination between health-care and social care services in order to achieve complementarity in meeting the needs and needs of those who benefit from them. The public sector will also focus on its role as planned, organized and monitored by the health system."
7,"Humankind, as one of the new platforms for achieving Saudi vision 030, has included three major pillars: the development of a solid and flexible educational base for all; the preparation of citizens for the future labour market; the universalization of opportunities for lifelong learning; the programme &apos; s plan includes 89 initiatives, spread over three pillars; the programme seeks to activate partnership with the private sector and the Gharbi sector; increase access to kindergartens from 9623 to 9690; and aims to enter the world throughout 2030, thereby strengthening the status of the Kingdom."
8,"The development of the mining sector and its increased contribution to the national economy have been accomplished, but it is still not hoped that we will direct our efforts to develop this vital sector, raise its contribution to GDP to 97 billion rials, increase the number of jobs in the sector to 90,000 by 1442 2020. To this end, we will undertake a number of structural reforms in this sector, launch a series of projects, including intensifying exploration, facilitating private sector investment in this area, reviewing the procedures for mining licences, building an integrated data system on the Kingdom &apos; s capabilities, investing in infrastructure, developing methods of absorption and establishing centres of excellence to support the sector &apos; s projects. We will also implement a number of projects in partnership with the private sector. We will also increase the competitiveness and productivity of our national firms through a range of international partnerships to contribute to the growth of the sector and to the development of knowledge and expertise."
9,"The lack of food, water and electricity is likely to exacerbate the deterioration of the health situation, particularly in the case of those suffering from chronic health conditions. It is estimated that average water consumption to meet all needs, including drinking, cooking and hygiene, has fallen to three litres per person per day by 20 October 2023 as against 80 litres per person per day before the war. This figure is in fact far below the limit recommended by the World Health Organization (WHO) for 150 litres per person per day. Water consumption in the Gaza Strip has now dropped sharply to 8 per cent of normal daily pre-war consumption levels. All five wastewater treatment plants have been closed owing to fuel shortages or damage."
10,"The Kingdom hosted several international sporting events such as Formula 1, the Spanish Super Cup on four occasions, the Italian Super Cup on two occasions, the establishment of the Kingdom's cycling of bicycles three times, the Kingdom of Saudi Arabia embraced international marathon twice a month in Riyadh; Ahay 2022 and 2023m, accompanied by numerous events in Marathon village and attended by more than 25,000 registered athletes, as well as the setting up of the Exgrim I 2022 World Series of electric four-wheel drives for the third time, as well as the hosting of the World Championship of Clubs for Super Globe for the third time in Quali. At the internal level, sports events contributed to several positive outputs, notably the Saudi Games 2022 in its first edition, which were marked in its inauguration by the Kingdom's landmarks; through a tour of the Torch of 83 sites over 50 days, through the participation of 83 million prominent individuals in the third round."
11,"Launching a film and film sector development strategy launched in Novmar 2021 to help support and empower Saudi filmmakers with their own specializations. The Kingdom was included in a leading world centre for film production in the Middle East region through several pillars: ensuring that the film sector in the Kingdom reaches qualified talent at a competitive cost; ensuring that the Saudi film sector has access to appropriate facilities and services; and at a competitive cost, stimulating local film production in the Kingdom as an appropriate regulatory mechanism that promotes the development of the film industry; and stimulating demand for Saudi films in local and global markets."
12,"To maximize the social impact of the non-profit sector, the non-profit sector &apos; s contribution exceeds 9,036 GDP. This contribution is modest if 2 readers of the world average of 696 in the proportion of charitable wealth that is socially obsolete or that is in line with the long-term national development objectives of 79 individuals. This ratio will be increased to more than 3396 by God &apos; s permission by 1442 of 42020 associations, foundations and the recently approved General Authority of Waqf system in order to enable the non-profit sector to become institutionalized. It will promote this by supporting projects and programmes with social impact. We will facilitate the establishment of non-profit organizations for families and wealth owners that will contribute to the rapid growth of the non-profit sector. We will also create a supportive technical environment and continue to promote cooperation between non-profit sector institutions and government agencies."
13,"We therefore aim to add 95 gigawatts of renewable energy to domestic production as a first-line model. We are also aiming to settle a large proportion of the renewable energy value chain in our economies. That series includes research, development, manufacturing and other steps. We possess all the ingredients for renewable energy success. We are a peer of inputs such as silicon and petrochemicals. Our leading Saudi wealth has strong experience in producing different forms of energy. We will therefore establish a legal and regulatory framework that will allow the private sector to own and invest in the renewable energy sector."
14,"The Ministry of Health will complete the implementation of the radical transformation of the Ministry of Health, which is the largest provider of health care in the Kingdom. Through strategic reform initiatives that will achieve the target situation. These include the Health Sector Governance Initiative, the Modern Care Model Initiative, the National Health Insurance Initiative, and the new funding models. The Employment Force Initiative, the Private Sector Participation Initiative, the Health Sector Governance Initiative, is undergoing a radical reform of health governance to advance the process of improving the quality of care and value commensurate with international best practices. There will be clear and distinct roles for the organizer, monitor and provider of health care. There will be a redefinition of the role of the Ministry of Health to become the organizer and monitor of the health sector. From this point of view, the Ministry will cease to be a provider of care for the beneficiaries so that it can perform its future function of ensuring that all beneficiaries have access to care that meets the standards set at the national level of quality."
15,"413. A detailed study of the lessons learned from the emerging Corona Coved HIV pandemic has been carried out in order to develop a methodology for responding to crises through a clear approach, a national crisis and disaster management plan and its involvement with health districts and communities. The capacity to establish temporary shelters, hospitals, testing centres and tents to enhance the absorptive capacity for disaster and crisis response has been improved. The infrastructure of residential areas has been improved to improve coverage of health care and to promote communication. The services have also been enabled by remote access, primarily health services: investment in artificial intelligence, simulation models and data analysis tools to support decision-making."
16,"The 62G51 programme included the transfer of best practices, tools and resources available to emerging companies in the area of financial technology for the development and branding of the scope of their existing operations in Saudi Arabia. 10 companies graduated from the range of fees, which allowed them to present their firms to local investors, media partners and the financial technology pool after three months of intensive training. At the end of 2021, 18 licensed financial technical companies, including 14 payment services companies, 4 insurance and financing companies, were licensed and two local banks were licensed."
17,"Our economy will provide opportunities for all; our men and women, class and class, to contribute their best abilities and focus on continuous training that will provide the skills they need, and we will strive to make the most of their abilities by promoting a culture of performance and coordinating efforts to achieve that goal. We have established the Employment Generation Authority. One of the most important factors of our strength is the vibrant and active young people, especially if they are to better complement and benefit from their skills. In contrast to other countries that are concerned about the ageing of their population, more than half of Saudis are under the age of 25. This is an advantage that we must improve their investment by channelling our young people &apos; s energies to entrepreneurship and small and medium-sized enterprises. Saudi women are an important component of our strength. They constitute more than 5098 of the total number of university graduates, and we will continue to develop their talents, invest their energies and enable them to gain access to opportunities to build their future and contribute to the development of our society and economy."
18,"Foreign direct investment in the second quarter of 2021 was the highest quarterly value in the previous 10 years, at about US$ 13.8 billion, with an RV of 3,967,700 on a quarterly basis and a rise of 739 on an annual basis. In 2021, direct income investment also reached a record level of US$ 19.3 billion, which was 2,96257 compared to the previous year, a figure that exceeds total investment in the previous three years. FDI inflows amounted to 22 billion, reaching 3,962 gross domestic product (GDP) in 2021, exceeding the target of US$ 42 billion and 9615 per cent of GDP."
